COMMENTID,COMMENTATOR,CUE,TEXT,TRIMVIDEO,TRIMASPECT,Ratings1,Ratings2,Ratings3,Ratings4,Ratings5 ,Sum,TLSum
1215,LstudyID599,46,good relaxed stance and animation,EXAMPLE 4,Delivery,2,0,0,0,4,6,2
1203,LstudyID599,39,not a great opener,EXAMPLE 3,Delivery,1,0,1,2,1,5,2
1208,LstudyID599,175,not as clearly/simply argued as could be,EXAMPLE 3,Delivery,0,0,0,0,2,2,0
1210,LstudyID599,189,engaged animated delivery at times,EXAMPLE 3,Delivery,0,1,0,0,2,3,1
1217,LstudyID599,89,great engaged delivery,EXAMPLE 4,Delivery,0,0,0,1,2,3,0
1165,LstudyID599,79,good animated gestures,EXAMPLE 1,Delivery,0,0,0,0,1,1,0
1209,LstudyID599,184,good level of emotion shown,EXAMPLE 3,Delivery,0,1,0,0,1,2,1
1212,LstudyID599,398,great closing comments,EXAMPLE 3,Delivery,0,0,0,0,2,2,0
1176,LstudyID599,402,humorous,EXAMPLE 2,Delivery,0,0,0,0,1,1,0
1211,LstudyID599,371,encouraging engagement of the audience through inclusive questions,EXAMPLE 3,Delivery,1,0,1,0,2,4,2
1105,LstudyID732,381,Good use of emotive delivery in the speech. You believe that she believes what she's saying. Expressive hand movements are also adding to this.,EXAMPLE 2,Delivery,0,0,1,0,2,3,1
1114,LstudyID732,43,Silence between sentences makes for clear punctuation.,EXAMPLE 1,Delivery,1,0,0,0,3,4,1
1112,LstudyID732,123,She speaks clearly and slowly to emphasise important bits.,EXAMPLE 4,Delivery,0,0,0,0,2,2,0
1103,LstudyID732,267,Slight pauses between sentences are punctuating the presentation.,EXAMPLE 2,Delivery,1,1,0,0,0,2,2
1117,LstudyID732,174,Highlights clearly the originality of his work.,EXAMPLE 1,Delivery,0,0,0,0,2,2,0
1137,UCM34,173,"Feels un prepared, lots of ums and ahs.",EXAMPLE 3,Delivery,0,1,0,0,1,2,1
1133,UCM34,139,This is a super interesting presentation. His enthusiasm shows and keeps me interesting for what comes next.,EXAMPLE 1,Delivery,0,0,0,1,1,2,0
1438,UCT26,40,good opening,EXAMPLE 1,Delivery,0,0,0,0,1,1,0
1447,UCT26,196,"good presentation. clear explanation, to the point and in three minutes",EXAMPLE 4,Delivery,1,0,0,0,2,3,1
1445,UCT26,232,I think he speaks without text.,EXAMPLE 3,Delivery,0,0,1,0,1,2,1
1443,UCT26,466,she made less eye contact with the audiences as she frequently looked to the screen,EXAMPLE 2,Delivery,0,0,2,0,1,3,2
1442,UCT26,456,"i just realised that she moved a lot. contradict from the previous tips about ""stand""",EXAMPLE 2,Delivery,0,0,1,0,1,2,1
1101,UCW7,104,good use of hand gestures,EXAMPLE 4,Delivery,0,0,0,0,3,3,0
1332,UCW8,157,"he sounds bit nervous, but he is selling his story at the beginning which is a good start.",EXAMPLE 3,Delivery,0,0,0,0,2,2,0
1333,UCW8,4,very clear and easy to understand,EXAMPLE 4,Delivery,1,0,0,0,4,5,1
1121,UCM34,113,"Building ideas is important, it is the key to a good story.",TUTORIAL 1,I am rather good at this,4,0,0,0,3,7,4
1120,UCM34,106,This is important!,TUTORIAL 1,I am rather good at this,0,1,1,0,2,4,2
1434,UCT26,368,"rehearsing is important (I've done this a lot). but, for me, the most important thing is how to overcome my nervous.",TUTORIAL 3,I am rather good at this,0,0,0,0,3,3,0
1317,UCW8,209,"she is a nice lady, but I didn't get attracted by her talk, sorry.",TUTORIAL 4,I am rather good at this,0,0,0,2,0,2,0
897,LstudyID636,51,This is the sort of thing I do.,TUTORIAL 1,I did/saw this in the past,1,2,1,0,1,5,4
994,LstudyID732,191,"The introduction needs to be prepared. But this one sounds like reading a script, a bit unnatural.",TUTORIAL 2,I did/saw this in the past,0,0,1,0,2,3,1
997,LstudyID732,275,A lot of the time I find there is too much information on a slide. I try to read and listen at the same time and don't manage either. So I like the idea of stripping back the written content.,TUTORIAL 3,I did/saw this in the past,1,1,0,1,1,4,2
1128,UCM34,339,I think over preparing can lead to stiff unnatural presentations.,TUTORIAL 3,I did/saw this in the past,0,0,0,1,1,2,0
1130,UCM34,189,Talking about not pacing yet she is pacing.,TUTORIAL 4,I did/saw this in the past,0,1,0,0,2,3,1
1129,UCM34,52,I find pacing side to side keeps the audiences attention especially during something dull.,TUTORIAL 4,I did/saw this in the past,0,2,0,2,2,6,2
1131,UCM34,205,"Not smile, but enthusiam. A smile should be an extension from that.",TUTORIAL 4,I did/saw this in the past,0,1,0,0,2,3,1
1428,UCT26,31,Totally agree,TUTORIAL 2,I did/saw this in the past,1,0,1,0,1,3,2
1435,UCT26,57,I think I do one of these in my delivery,TUTORIAL 4,I did/saw this in the past,0,0,1,0,1,2,1
1161,LstudyID599,274,silence- use it appropriately - don't keep addin joining words so that its a monologue. use silence to pause,TUTORIAL 4,I didnt realize I wasnt doing this,1,1,0,0,2,4,2
998,LstudyID732,259,Pretty sure I'm guilty of that. Will work towards preparing specific points in the form of sentences.,TUTORIAL 4,I didnt realize I wasnt doing this,0,0,0,0,2,2,0
995,LstudyID732,359,I had not thought to prepare an ending.,TUTORIAL 2,I didnt realize I wasnt doing this,0,0,1,1,1,3,1
1132,UCM34,263,I should really respect that silences are important. I do fill the void with noise.,TUTORIAL 4,I didnt realize I wasnt doing this,0,0,0,1,1,2,0
1379,UCT21,108,1 idea per slide,TUTORIAL 1,I didnt realize I wasnt doing this,1,1,2,0,2,6,4
1427,UCT26,141,"Knowing that there are other tools for delivery a presentation is a new thing for me. I thought that PowerPoint is the only tool. I do realise that using many figures could distract audiences. Therefore, I hide the text from them and read it from my laptop during a delivery.",TUTORIAL 1,I didnt realize I wasnt doing this,1,0,0,0,3,4,1
1429,UCT26,66,"Sadly, I was doing this boring opening senteces frequently",TUTORIAL 2,I didnt realize I wasnt doing this,2,2,0,0,2,6,4
1271,UCW13,68,"I don't know how many times I have heard those opening, can everyone hear me, thank you for coming....",TUTORIAL 2,I didnt realize I wasnt doing this,1,1,0,1,1,4,2
1159,LstudyID599,190,"sound - stay low, as shoulders raise voice goes up. Also vary pitch, and use of volume etc to add dynamic elements to presentation",TUTORIAL 4,I like this point,1,0,0,0,1,2,1
1150,LstudyID599,35,people only remember the start and the end of a presentation,TUTORIAL 2,I like this point,1,0,0,2,4,7,1
1143,LstudyID599,87,not bullets/graphs/points - tell a story with beginning middle and end. Build the presentation around this (low tech) and approach in the way of 'what best tells the story',TUTORIAL 1,I like this point,1,0,0,1,3,5,1
1160,LstudyID599,242,smile whilst presentig,TUTORIAL 4,I like this point,0,1,0,0,1,2,1
1144,LstudyID599,168,Make one point per slide or build and idea over slides- keep it simple and use visuals.,TUTORIAL 1,I like this point,1,0,0,0,4,5,1
1162,LstudyID599,371,"sight - make eye contact with people like you would in a conversation, dont scan/not focus - stance, smile, speech, sight, silence",TUTORIAL 4,I like this point,0,0,0,0,2,2,0
1158,LstudyID599,,"yoga standing pose, feet rooted and arms by side - keep shoulders down",TUTORIAL 4,I like this point,1,0,0,1,1,3,1
901,LstudyID636,81,Good idea.,TUTORIAL 3,I like this point,0,0,1,0,1,2,1
900,LstudyID636,433,Good idea.,TUTORIAL 2,I like this point,0,0,0,0,1,1,0
899,LstudyID636,185,"These are interesting, but they also link with the first video - these people are telling a story, with a beginning, middle and end,  Stories are important.",TUTORIAL 2,I like this point,0,0,0,0,3,3,0
898,LstudyID636,77,That's a good idea.  It's also how I write!,TUTORIAL 1,I like this point,0,1,1,0,2,4,2
1000,LstudyID732,359,"I am guilty of this. I find maintaining eye contact a struggle, but perhaps I should just get over it.",TUTORIAL 4,I like this point,0,0,0,0,2,2,0
996,LstudyID732,239,People like to hear a statistic in context.,TUTORIAL 3,I like this point,0,0,0,0,3,3,0
992,LstudyID732,37,A very clear piece of advice,TUTORIAL 2,I like this point,1,0,1,0,2,4,2
1119,UCM34,74,"This is a good idea, but why does this make bullet points bad?",TUTORIAL 1,I like this point,0,1,1,2,2,6,2
1126,UCM34,103,The energy expressed by the presenter at this point is also important.,TUTORIAL 3,I like this point,1,1,0,0,4,6,2
1377,UCT21,75,"Ok so clear, concise points arranged logically",TUTORIAL 1,I like this point,0,0,0,0,6,6,0
1431,UCT26,424,this video gives a new horizon to me. I always make sure that the closing of presentation should be less than a minute.,TUTORIAL 2,I like this point,0,0,0,0,1,1,0
1430,UCT26,172,"hmmm...it seems that an opening sentence doesn't necessary mean to be a short one, but full of teasing words or attract a curiosity",TUTORIAL 2,I like this point,0,0,1,0,1,2,1
1432,UCT26,226,i like the way steve jobs presents numbers,TUTORIAL 3,I like this point,0,0,0,0,2,2,0
1433,UCT26,248,"surely I should remember this point: ""make numbers meaningful""",TUTORIAL 3,I like this point,0,0,0,0,2,2,0
1436,UCT26,93,"again, I was doing this in my delivery",TUTORIAL 4,I like this point,0,0,1,0,1,2,1
804,UCT27,391,"Added bonus to the presentation, wow. i never thought of that",TUTORIAL 3,I like this point,1,0,0,0,1,2,1
1268,UCW13,28,Understanding that audiences remember the beginning and end is very useful.,TUTORIAL 2,I like this point,3,0,0,0,5,8,3
1272,UCW13,110,possibly a little dramatic all be it true sounds like a politician.... a bit much maybe,TUTORIAL 2,I like this point,0,0,1,1,1,3,1
1270,UCW13,36,primacy- recency effect maybe professors should take this into account when lecturing.,TUTORIAL 2,I like this point,2,2,0,1,1,6,4
1288,UCW13,323,find that memorable moment ummmmm the point where you tell the audience your findings.....or maybe what it means for the future??,TUTORIAL 3,I like this point,1,0,0,0,3,4,1
1266,UCW13,173,I love the hand drawn animations highly effective. I wonder how/if this will work for scientific presentations at conferences?,TUTORIAL 1,I like this point,0,3,0,0,6,9,3
1088,UCW7,379,when your job is creative incentives stress you out and if it is routine work is it useful,TUTORIAL 2,I like this point,0,0,0,1,1,2,0
